threshold,min_component_size,fill_hole_area,postprocess,iou_background,iou_foreground,miou,kappa,accuracy,precision,recall
0.485,0,512,fill_small_holes(max_area=512),0.9609635556719393,0.81654155869951,0.8887525571857247,0.8791031781124846,0.9667419551368286,0.9095433886605413,0.8887114338659938
0.475,1536,256,remove_small_components(min_area=1536)+fill_small_holes(max_area=256),0.9609562018565836,0.8165372750431817,0.8887467384498826,0.8790966805686883,0.9667364766247168,0.9094113935766719,0.8888324122174245
0.48,1024,512,remove_small_components(min_area=1024)+fill_small_holes(max_area=512),0.9609648808402829,0.8164965157572208,0.8887306982987518,0.8790767100198885,0.9667414371284873,0.9097529548498169,0.888458115780483
0.485,0,256,fill_small_holes(max_area=256),0.9609613136557519,0.8164893901435692,0.8887253518996605,0.8790705120095014,0.9667386135338863,0.9097093292920568,0.8884912891002867
0.48,512,128,remove_small_components(min_area=512)+fill_small_holes(max_area=128),0.9609568124405425,0.8164900806763788,0.8887234465584607,0.8790685322868929,0.9667353687456052,0.9096150476039436,0.888582060315675
0.48,1024,256,remove_small_components(min_area=1024)+fill_small_holes(max_area=256),0.960967243615107,0.8164632208485113,0.8887152322318091,0.8790578832767183,0.9667420589381147,0.9099360934313131,0.8882441131124635
0.475,1536,128,remove_small_components(min_area=1536)+fill_small_holes(max_area=128),0.9609495648805727,0.8164775664272002,0.8887135656538865,0.8790571245433648,0.9667296966041713,0.9095185359501662,0.8886593548698928
0.485,0,128,fill_small_holes(max_area=128),0.9609527533505344,0.8164183866323937,0.8886855699914641,0.8790231183545608,0.9667300668952978,0.9098232323308267,0.8882986070016067
0.48,1024,128,remove_small_components(min_area=1024)+fill_small_holes(max_area=128),0.9609571287638755,0.816385901956067,0.8886715153599712,0.8790058524674557,0.9667321768560564,0.9100440368700211,0.8880497891262065
0.48,512,0,remove_small_components(min_area=512),0.9609467784692719,0.8163834676734333,0.8886651230713526,0.8789988696283916,0.9667245823946503,0.9098433536472351,0.8882380908605844
0.475,1536,0,remove_small_components(min_area=1536),0.9609382062145105,0.8163660016540312,0.8886521039342709,0.8789837664617343,0.9667177854065868,0.9097399112332669,0.8883160205975875
0.485,512,512,remove_small_components(min_area=512)+fill_small_holes(max_area=512),0.9609494248584237,0.8163252785423996,0.8886373517004116,0.8789651757188677,0.9667245933736325,0.9101332754818775,0.8878931087084118
0.48,1536,512,remove_small_components(min_area=1536)+fill_small_holes(max_area=512),0.9609426386477725,0.8163083048486162,0.8886254717481943,0.878951319073859,0.9667191088729851,0.9100640365245526,0.887938931753307
0.485,0,0,none,0.9609394217982833,0.8162969988329706,0.8886182103156269,0.8789427839004452,0.9667164020548311,0.9100444515761505,0.8879441989765923
0.48,1024,0,remove_small_components(min_area=1024),0.9609469008186968,0.8162786603008076,0.8886127805597522,0.8789357078746756,0.9667212308108152,0.9102711298973849,0.8877068143913268
0.485,512,256,remove_small_components(min_area=512)+fill_small_holes(max_area=256),0.9609471680515785,0.8162729587925265,0.8886100634220525,0.8789324110147346,0.9667212377974402,0.9102997233732912,0.8876728800506387
0.48,1536,256,remove_small_components(min_area=1536)+fill_small_holes(max_area=256),0.9609450021132041,0.81627496046719,0.8886099812901971,0.8789324635761321,0.9667197306826126,0.9102474826361938,0.8877249290852876
0.485,1024,512,remove_small_components(min_area=1024)+fill_small_holes(max_area=512),0.9609586139167872,0.8162500758484175,0.8886043448826023,0.8789247138077261,0.9667287993218997,0.9106260100326458,0.8873357897449583
0.49,0,512,fill_small_holes(max_area=512),0.9609374847098272,0.8162151007304552,0.8885762927201413,0.8788923443870311,0.9667123078925643,0.9103374077408535,0.8875686321740802
0.485,1024,256,remove_small_components(min_area=1024)+fill_small_holes(max_area=256),0.9609560278709368,0.8161964497398313,0.888576238805384,0.8788909887825191,0.9667251632826169,0.9107912907960471,0.8871155610871854
0.485,512,128,remove_small_components(min_area=512)+fill_small_holes(max_area=128),0.9609386002511723,0.8162018147054081,0.8885702074782902,0.8788849246521308,0.966712682176048,0.9104140835736984,0.8874800481446979
0.48,1536,128,remove_small_components(min_area=1536)+fill_small_holes(max_area=128),0.9609348891331794,0.8161975908187123,0.8885662399759459,0.8788803970599646,0.9667098486005542,0.9103556313835172,0.8875306050990305
0.49,0,256,fill_small_holes(max_area=256),0.9609359471579326,0.8161656132874457,0.8885507802226892,0.8788616711718703,0.9667095681374638,0.9105070518847754,0.8873489308378648
0.485,1024,128,remove_small_components(min_area=1024)+fill_small_holes(max_area=128),0.9609472838349119,0.8161245781531941,0.888535930994053,0.8788429706806997,0.9667164569497421,0.91090510694799,0.8869227291812445
0.49,0,128,fill_small_holes(max_area=128),0.9609274439167268,0.8160942475271097,0.8885108457219182,0.8788140828291031,0.9667010524396432,0.9106236238815824,0.8871539057536277
0.48,1536,0,remove_small_components(min_area=1536),0.9609248063104804,0.8160910618265901,0.8885079340685352,0.8788107532831261,0.9666990323069207,0.9105827959556104,0.8871888947374309
0.485,512,0,remove_small_components(min_area=512),0.9609252006452984,0.8160801646613581,0.8885026826533282,0.8788043900650078,0.966698961442581,0.910635101035513,0.8871263711791156
0.485,1536,512,remove_small_components(min_area=1536)+fill_small_holes(max_area=512),0.9609276592142476,0.8160281135094108,0.8884778863618292,0.8787743043597136,0.9666990412897243,0.9108967927234389,0.8868166836175579
0.485,1024,0,remove_small_components(min_area=1024),0.9609339407283406,0.8160034077671424,0.8884686742477415,0.878762758288502,0.9667027951035432,0.9111255404491995,0.8865708139490478
0.49,512,512,remove_small_components(min_area=512)+fill_small_holes(max_area=512),0.9609235439514162,0.8160004553805952,0.8884619996660057,0.8787554227015392,0.9666951457472261,0.9109252516964963,0.8867570483432284
0.485,1536,256,remove_small_components(min_area=1536)+fill_small_holes(max_area=256),0.9609250747629411,0.8159744300690109,0.888449752415976,0.8787405421464827,0.9666954052504415,0.9110623359598355,0.8865964549597849
0.49,0,0,none,0.9609141167949071,0.8159727986905723,0.8884434577427397,0.8787337041015398,0.9666873915915337,0.910845310184576,0.8868001508882699
0.49,512,256,remove_small_components(min_area=512)+fill_small_holes(max_area=256),0.9609220179182208,0.8159509329675371,0.888436475442879,0.8787247355054126,0.9666924149749293,0.9110954820703252,0.8865373290301417
0.49,1024,512,remove_small_components(min_area=1024)+fill_small_holes(max_area=512),0.960927975995582,0.8159054489014071,0.8884167124484945,0.8787004863969887,0.9666952545389588,0.9114023351249432,0.8861933296135991
0.485,1536,128,remove_small_components(min_area=1536)+fill_small_holes(max_area=128),0.9609163327802861,0.8159025072348712,0.8884094200075787,0.878692487062763,0.9666866989175665,0.9111763455668542,0.8864036230538441
0.49,512,128,remove_small_components(min_area=512)+fill_small_holes(max_area=128),0.9609135182766217,0.8158794845332773,0.8883965014049495,0.8786770954099304,0.966683900275198,0.9112125076951482,0.8863422320384196
0.49,1024,256,remove_small_components(min_area=1024)+fill_small_holes(max_area=256),0.9609264499401987,0.8158558829628966,0.8883911664515476,0.87866977579013,0.9666925237666618,0.9115729707414866,0.8859736103005124
0.49,1024,128,remove_small_components(min_area=1024)+fill_small_holes(max_area=128),0.9609177894912488,0.8157837634937799,0.8883507764925144,0.8786216452179139,0.9666838713306085,0.9116895229206055,0.8857785133087902
0.495,0,512,fill_small_holes(max_area=512),0.9608914882453559,0.8158092912063176,0.8883503897258367,0.8786229769102412,0.9666655963157122,0.9110481135604995,0.886414960467332
0.485,1536,0,remove_small_components(min_area=1536),0.9609033078813967,0.815782917246024,0.8883431125637103,0.878613386740029,0.966673320528726,0.9113967700414942,0.8860540388226235
0.49,512,0,remove_small_components(min_area=512),0.9609000502337375,0.8157575316527333,0.8883287909432354,0.8785963317184431,0.9666701226506416,0.9114334861996513,0.8859893939934971
0.495,0,256,fill_small_holes(max_area=256),0.960888099711683,0.8157529857571693,0.8883205427344261,0.8785871983198195,0.9666612905585161,0.9112078276623637,0.8861973684173469
0.49,1024,0,remove_small_components(min_area=1024),0.9609044096962657,0.8156625357435957,0.8882834727199307,0.8785413672079694,0.9666701835340882,0.9119095368448957,0.8854280721800385
0.495,0,128,fill_small_holes(max_area=128),0.9608799868330269,0.8156820736875847,0.8882810302603058,0.8785400812016243,0.9666530742874824,0.9113304849048253,0.8859977172849002
0.49,1536,512,remove_small_components(min_area=1536)+fill_small_holes(max_area=512),0.9608847496301842,0.8156225705753215,0.8882536601027529,0.8785067353724212,0.966654588388935,0.9116699341544501,0.8856069600261556
0.49,1536,256,remove_small_components(min_area=1536)+fill_small_holes(max_area=256),0.9608832256052308,0.8155729360310605,0.8882280808181456,0.8784759800451235,0.9666518576166382,0.9118408495440444,0.8853872407130688
0.495,512,512,remove_small_components(min_area=512)+fill_small_holes(max_area=512),0.9608740594189171,0.8155820759573852,0.8882280676881511,0.8784765858024489,0.9666454947974157,0.9116161345599502,0.8856099861328213
0.495,0,0,none,0.9608651754691278,0.815554240438695,0.8882097079539113,0.8784550387850548,0.9666381279003676,0.9115477811196699,0.8856416793568896
0.495,512,256,remove_small_components(min_area=512)+fill_small_holes(max_area=256),0.9608706793209818,0.8155257188435387,0.8881981990822603,0.8784407796745841,0.9666411950287552,0.9117763820494463,0.8853923761059649
0.49,1536,128,remove_small_components(min_area=1536)+fill_small_holes(max_area=128),0.960874567795917,0.8155007565094281,0.8881876621526725,0.8784278048428421,0.9666432051805849,0.9119576065736732,0.8851921437213467
